"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"727","64","617","59","110","47","1400000US33015065006","Census Tract 650.06, Rockingham County, New Hampshire"
"830","82","554","69","276","67","1400000US33015065007","Census Tract 650.07, Rockingham County, New Hampshire"
"923","116","513","93","410","114","1400000US33015065008","Census Tract 650.08, Rockingham County, New Hampshire"
"1820","118","1612","123","208","75","1400000US33015066000","Census Tract 660, Rockingham County, New Hampshire"
"2817","137","2487","162","330","133","1400000US33015067000","Census Tract 670, Rockingham County, New Hampshire"
"2957","144","1924","173","1033","158","1400000US33015067501","Census Tract 675.01, Rockingham County, New Hampshire"
"1678","110","757","111","921","121","1400000US33015067502","Census Tract 675.02, Rockingham County, New Hampshire"
"2174","146","854","104","1320","161","1400000US33015069100","Census Tract 691, Rockingham County, New Hampshire"
"1464","96","634","80","830","96","1400000US33015069200","Census Tract 692, Rockingham County, New Hampshire"
"1042","82","730","77","312","87","1400000US33015069300","Census Tract 693, Rockingham County, New Hampshire"
"1395","110","1004","107","391","81","1400000US33015069700","Census Tract 697, Rockingham County, New Hampshire"
"2364","153","1941","155","423","174","1400000US33015071000","Census Tract 710, Rockingham County, New Hampshire"
"2496","133","2294","153","202","116","1400000US33015100100","Census Tract 1001, Rockingham County, New Hampshire"
"2161","103","1503","123","658","120","1400000US33015100200","Census Tract 1002, Rockingham County, New Hampshire"
"1753","103","1539","133","214","88","1400000US33015100301","Census Tract 1003.01, Rockingham County, New Hampshire"
"1862","112","1254","134","608","146","1400000US33015100302","Census Tract 1003.02, Rockingham County, New Hampshire"
"3264","150","2416","200","848","176","1400000US33015100400","Census Tract 1004, Rockingham County, New Hampshire"
"3119","164","2548","220","571","169","1400000US33015101100","Census Tract 1011, Rockingham County, New Hampshire"
"1853","107","1487","144","366","104","1400000US33015102100","Census Tract 1021, Rockingham County, New Hampshire"
"2745","185","2551","169","194","106","1400000US33015103100","Census Tract 1031, Rockingham County, New Hampshire"
"2042","99","1365","141","677","149","1400000US33015104101","Census Tract 1041.01, Rockingham County, New Hampshire"
"1531","86","1424","113","107","73","1400000US33015104102","Census Tract 1041.02, Rockingham County, New Hampshire"
"2411","198","2031","186","380","139","1400000US33015105100","Census Tract 1051, Rockingham County, New Hampshire"
"2600","146","2479","159","121","77","1400000US33015106101","Census Tract 1061.01, Rockingham County, New Hampshire"
"2409","140","2326","151","83","66","1400000US33015106102","Census Tract 1061.02, Rockingham County, New Hampshire"
"1875","119","1257","136","618","137","1400000US33015106200","Census Tract 1062, Rockingham County, New Hampshire"
"1903","126","1355","150","548","123","1400000US33015106400","Census Tract 1064, Rockingham County, New Hampshire"
"1152","58","460","83","692","101","1400000US33015107100","Census Tract 1071, Rockingham County, New Hampshire"
"2807","128","1542","146","1265","121","1400000US33015107200","Census Tract 1072, Rockingham County, New Hampshire"
"465","37","404","46","61","29","1400000US33015107400","Census Tract 1074, Rockingham County, New Hampshire"
"1823","87","1515","90","308","77","1400000US33015107500","Census Tract 1075, Rockingham County, New Hampshire"
"0","11","0","11","0","11","1400000US33015980011","Census Tract 9800.11, Rockingham County, New Hampshire"
"0","11","0","11","0","11","1400000US33015990000","Census Tract 9900, Rockingham County, New Hampshire"
"1028","100","888","82","140","68","1400000US33017080100","Census Tract 801, Strafford County, New Hampshire"
"1051","100","614","76","437","89","1400000US33017080202","Census Tract 802.02, Strafford County, New Hampshire"
"629","97","203","45","426","89","1400000US33017080203","Census Tract 802.03, Strafford County, New Hampshire"
"479","75","149","29","330","73","1400000US33017080204","Census Tract 802.04, Strafford County, New Hampshire"
"2491","183","2152","166","339","142","1400000US33017080500","Census Tract 805, Strafford County, New Hampshire"
"3064","172","1600","201","1464","202","1400000US33017081100","Census Tract 811, Strafford County, New Hampshire"
"2051","133","1562","156","489","121","1400000US33017081200","Census Tract 812, Strafford County, New Hampshire"
"2344","139","765","157","1579","174","1400000US33017081300","Census Tract 813, Strafford County, New Hampshire"
"985","81","248","54","737","81","1400000US33017081400","Census Tract 814, Strafford County, New Hampshire"
"2732","163","1005","176","1727","189","1400000US33017081500","Census Tract 815, Strafford County, New Hampshire"
"2313","122","1769","165","544","144","1400000US33017081600","Census Tract 816, Strafford County, New Hampshire"
"1040","61","798","62","242","56","1400000US33017082000","Census Tract 820, Strafford County, New Hampshire"
"2882","200","1262","163","1620","243","1400000US33017083001","Census Tract 830.01, Strafford County, New Hampshire"
"2245","169","1533","202","712","208","1400000US33017083002","Census Tract 830.02, Strafford County, New Hampshire"
"2130","110","1654","154","476","130","1400000US33017084100","Census Tract 841, Strafford County, New Hampshire"
"3224","216","2365","235","859","236","1400000US33017084200","Census Tract 842, Strafford County, New Hampshire"
"2938","161","1586","189","1352","221","1400000US33017084300","Census Tract 843, Strafford County, New Hampshire"
