"B11001_001E","B11001_001M","B11001_002E","B11001_002M","B11001_003E","B11001_003M","B11001_004E","B11001_004M","B11001_005E","B11001_005M","B11001_006E","B11001_006M","B11001_007E","B11001_007M","B11001_008E","B11001_008M","B11001_009E","B11001_009M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!Married-couple family","Margin of Error!!Total:!!Family households:!!Married-couple family","Estimate!!Total:!!Family households:!!Other family:","Margin of Error!!Total:!!Family households:!!Other family:","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!Householder living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone","Estimate!!Total:!!Nonfamily households:!!Householder not living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone","id","Geographic Area Name"
"1904","129","1307","116","1054","106","253","68","89","34","164","59","597","98","447","90","150","59","1400000US33013038500","Census Tract 385, Merrimack County, New Hampshire"
"2193","126","1715","125","1450","147","265","135","66","54","199","131","478","140","346","116","132","92","1400000US33013039000","Census Tract 390, Merrimack County, New Hampshire"
"1805","127","1184","113","924","122","260","109","124","87","136","72","621","153","455","139","166","100","1400000US33013040000","Census Tract 400, Merrimack County, New Hampshire"
"2326","98","1642","95","1418","97","224","57","58","37","166","48","684","92","550","86","134","49","1400000US33013040500","Census Tract 405, Merrimack County, New Hampshire"
"1551","161","953","86","846","97","107","59","31","32","76","47","598","157","535","140","63","41","1400000US33013041000","Census Tract 410, Merrimack County, New Hampshire"
"1558","82","1057","81","903","84","154","38","66","24","88","37","501","78","387","73","114","39","1400000US33013041500","Census Tract 415, Merrimack County, New Hampshire"
"1608","71","1150","83","981","88","169","57","78","32","91","51","458","90","327","86","131","54","1400000US33013042500","Census Tract 425, Merrimack County, New Hampshire"
"1841","146","1037","101","676","113","361","98","64","47","297","89","804","163","647","167","157","78","1400000US33013043001","Census Tract 430.01, Merrimack County, New Hampshire"
"2068","163","1208","145","916","109","292","123","64","42","228","119","860","190","708","189","152","75","1400000US33013043002","Census Tract 430.02, Merrimack County, New Hampshire"
"1860","118","1365","120","883","105","482","110","243","118","239","95","495","133","415","126","80","57","1400000US33013044000","Census Tract 440, Merrimack County, New Hampshire"
"1722","95","963","110","737","113","226","58","78","53","148","59","759","95","640","101","119","65","1400000US33013044100","Census Tract 441, Merrimack County, New Hampshire"
"2460","124","1659","140","1464","159","195","79","70","51","125","68","801","155","541","166","260","131","1400000US33013044200","Census Tract 442, Merrimack County, New Hampshire"
"2025","89","1148","113","857","113","291","96","126","56","165","72","877","118","686","113","191","81","1400000US33013044300","Census Tract 443, Merrimack County, New Hampshire"
"1557","78","1336","90","1015","117","321","104","150","70","171","76","221","75","174","60","47","50","1400000US33015003301","Census Tract 33.01, Rockingham County, New Hampshire"
"1816","110","1354","108","1045","96","309","104","67","43","242","95","462","94","311","92","151","55","1400000US33015003302","Census Tract 33.02, Rockingham County, New Hampshire"
"2380","139","1407","162","853","166","554","142","114","87","440","125","973","187","853","173","120","91","1400000US33015003400","Census Tract 34, Rockingham County, New Hampshire"
"2548","187","1313","157","768","152","545","167","56","59","489","161","1235","221","811","195","424","139","1400000US33015003500","Census Tract 35, Rockingham County, New Hampshire"
"2435","147","1877","188","1524","177","353","158","41","40","312","154","558","160","400","129","158","122","1400000US33015003601","Census Tract 36.01, Rockingham County, New Hampshire"
"2005","92","1722","114","1466","147","256","95","87","55","169","82","283","84","185","67","98","54","1400000US33015003602","Census Tract 36.02, Rockingham County, New Hampshire"
"1536","79","1185","116","849","126","336","113","102","77","234","93","351","94","292","89","59","52","1400000US33015003701","Census Tract 37.01, Rockingham County, New Hampshire"
"2137","114","1607","154","1288","161","319","133","81","83","238","104","530","136","398","118","132","79","1400000US33015003703","Census Tract 37.03, Rockingham County, New Hampshire"
"1325","50","1166","70","1068","74","98","66","0","11","98","66","159","66","108","52","51","39","1400000US33015003801","Census Tract 38.01, Rockingham County, New Hampshire"
"1449","61","1221","84","1113","93","108","60","58","49","50","34","228","79","185","74","43","30","1400000US33015003802","Census Tract 38.02, Rockingham County, New Hampshire"
"1712","85","1333","115","1003","109","330","119","109","69","221","103","379","102","336","99","43","35","1400000US33015003901","Census Tract 39.01, Rockingham County, New Hampshire"
"1179","49","906","80","709","105","197","85","94","54","103","69","273","69","233","64","40","34","1400000US33015003902","Census Tract 39.02, Rockingham County, New Hampshire"
"1973","91","1655","103","1406","127","249","80","152","66","97","52","318","106","256","98","62","48","1400000US33015004000","Census Tract 40, Rockingham County, New Hampshire"
"1537","80","1118","85","995","87","123","72","76","55","47","46","419","113","306","93","113","64","1400000US33015050000","Census Tract 500, Rockingham County, New Hampshire"
"1687","101","1474","95","1270","101","204","67","104","49","100","46","213","94","144","79","69","49","1400000US33015051000","Census Tract 510, Rockingham County, New Hampshire"
"2229","137","1674","110","1448","126","226","111","125","93","101","67","555","130","349","130","206","109","1400000US33015052000","Census Tract 520, Rockingham County, New Hampshire"
"1685","93","1330","86","1099","115","231","95","108","66","123","88","355","99","246","93","109","72","1400000US33015053000","Census Tract 530, Rockingham County, New Hampshire"
"1764","77","1351","98","1242","103","109","57","27","28","82","51","413","92","267","89","146","67","1400000US33015054000","Census Tract 540, Rockingham County, New Hampshire"
"2261","133","1755","140","1432","188","323","131","78","59","245","119","506","159","346","126","160","79","1400000US33015055001","Census Tract 550.01, Rockingham County, New Hampshire"
"1851","130","1061","137","744","113","317","118","89","81","228","98","790","145","519","122","271","126","1400000US33015055002","Census Tract 550.02, Rockingham County, New Hampshire"
"1653","86","1290","78","1118","103","172","82","33","30","139","71","363","104","210","95","153","63","1400000US33015056000","Census Tract 560, Rockingham County, New Hampshire"
"1611","107","1170","98","1031","101","139","54","63","41","76","45","441","111","289","88","152","79","1400000US33015057000","Census Tract 570, Rockingham County, New Hampshire"
"1900","108","1447","97","1282","117","165","82","48","44","117","67","453","144","332","128","121","60","1400000US33015058000","Census Tract 580, Rockingham County, New Hampshire"
"2680","155","2034","136","1709","192","325","136","96","94","229","89","646","174","495","156","151","97","1400000US33015059000","Census Tract 590, Rockingham County, New Hampshire"
"1533","82","1245","70","1137","86","108","50","36","31","72","43","288","83","247","81","41","31","1400000US33015060000","Census Tract 600, Rockingham County, New Hampshire"
"2764","143","1706","156","1440","187","266","105","64","56","202","88","1058","183","756","169","302","128","1400000US33015061001","Census Tract 610.01, Rockingham County, New Hampshire"
"888","65","716","54","635","52","81","34","45","33","36","24","172","49","155","48","17","14","1400000US33015062000","Census Tract 620, Rockingham County, New Hampshire"
