"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"1908","90","10","16","10","15","212","96","38","27","235","96","124","77","43","38","39","30","36","32","1161","161","1400000US33011200400","Census Tract 2004, Hillsborough County, New Hampshire"
"0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011980101","Census Tract 9801.01, Hillsborough County, New Hampshire"
"1512","66","18","20","32","33","106","51","167","67","371","100","408","99","194","74","57","36","10","15","149","57","1400000US33013003001","Census Tract 30.01, Merrimack County, New Hampshire"
"1311","78","12","19","22","24","67","37","147","55","278","87","339","112","157","74","127","61","38","29","124","56","1400000US33013003006","Census Tract 30.06, Merrimack County, New Hampshire"
"1858","120","67","51","17","19","197","65","139","64","337","101","417","109","131","50","183","89","146","95","224","95","1400000US33013003100","Census Tract 31, Merrimack County, New Hampshire"
"2925","215","54","51","0","16","212","79","89","88","747","193","374","138","334","142","289","125","81","62","745","200","1400000US33013003200","Census Tract 32, Merrimack County, New Hampshire"
"1001","50","18","13","9","10","239","58","205","46","211","47","122","45","60","26","70","31","4","7","63","25","1400000US33013030000","Census Tract 300, Merrimack County, New Hampshire"
"1423","69","61","45","82","36","172","67","241","71","201","60","240","70","138","56","58","43","49","48","181","55","1400000US33013031001","Census Tract 310.01, Merrimack County, New Hampshire"
"1394","78","0","11","25","28","191","56","313","95","386","80","255","68","141","53","21","22","9","14","53","42","1400000US33013031002","Census Tract 310.02, Merrimack County, New Hampshire"
"1547","62","0","11","0","11","50","28","126","57","107","58","193","65","125","56","195","67","125","53","626","102","1400000US33013032100","Census Tract 321, Merrimack County, New Hampshire"
