"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.3911","0.0386","1400000US33013043001","Census Tract 430.01, Merrimack County, New Hampshire"
"0.4389","0.0568","1400000US33013043002","Census Tract 430.02, Merrimack County, New Hampshire"
"0.4089","0.0664","1400000US33013044000","Census Tract 440, Merrimack County, New Hampshire"
"0.3938","0.0325","1400000US33013044100","Census Tract 441, Merrimack County, New Hampshire"
"0.3796","0.0396","1400000US33013044200","Census Tract 442, Merrimack County, New Hampshire"
"0.4262","0.0362","1400000US33013044300","Census Tract 443, Merrimack County, New Hampshire"
"0.3304","0.0269","1400000US33015003301","Census Tract 33.01, Rockingham County, New Hampshire"
"0.4086","0.0702","1400000US33015003302","Census Tract 33.02, Rockingham County, New Hampshire"
"0.4416","0.0659","1400000US33015003400","Census Tract 34, Rockingham County, New Hampshire"
"0.4134","0.0819","1400000US33015003500","Census Tract 35, Rockingham County, New Hampshire"
"0.3445","0.0286","1400000US33015003601","Census Tract 36.01, Rockingham County, New Hampshire"
"0.2838","0.0312","1400000US33015003602","Census Tract 36.02, Rockingham County, New Hampshire"
"0.3469","0.0276","1400000US33015003701","Census Tract 37.01, Rockingham County, New Hampshire"
"0.4039","0.0462","1400000US33015003703","Census Tract 37.03, Rockingham County, New Hampshire"
"0.2896","0.0208","1400000US33015003801","Census Tract 38.01, Rockingham County, New Hampshire"
"0.3649","0.0409","1400000US33015003802","Census Tract 38.02, Rockingham County, New Hampshire"
"0.3294","0.0235","1400000US33015003901","Census Tract 39.01, Rockingham County, New Hampshire"
"0.3566","0.0296","1400000US33015003902","Census Tract 39.02, Rockingham County, New Hampshire"
"0.3468","0.0518","1400000US33015004000","Census Tract 40, Rockingham County, New Hampshire"
"0.4058","0.0344","1400000US33015050000","Census Tract 500, Rockingham County, New Hampshire"
"0.3328","0.0415","1400000US33015051000","Census Tract 510, Rockingham County, New Hampshire"
"0.3203","0.0385","1400000US33015052000","Census Tract 520, Rockingham County, New Hampshire"
"0.3793","0.0356","1400000US33015053000","Census Tract 530, Rockingham County, New Hampshire"
"0.3021","0.0312","1400000US33015054000","Census Tract 540, Rockingham County, New Hampshire"
"0.3523","0.0361","1400000US33015055001","Census Tract 550.01, Rockingham County, New Hampshire"
"0.3555","0.0377","1400000US33015055002","Census Tract 550.02, Rockingham County, New Hampshire"
"0.3841","0.0340","1400000US33015056000","Census Tract 560, Rockingham County, New Hampshire"
"0.3366","0.0305","1400000US33015057000","Census Tract 570, Rockingham County, New Hampshire"
"0.3688","0.0597","1400000US33015058000","Census Tract 580, Rockingham County, New Hampshire"
"0.3701","0.0342","1400000US33015059000","Census Tract 590, Rockingham County, New Hampshire"
"0.3866","0.0323","1400000US33015060000","Census Tract 600, Rockingham County, New Hampshire"
